constituency_code,constituency_name,member_name,party,province,district
PS-67,Tando Muhammad Khan-II,Khurram Karim Soomro,PPP,Sindh,Tando Muhammad Khan
PS-68,Badin-I,Muhammad Halepoto,PPP,Sindh,Badin
PS-69,Badin-II,Allah Bux Talpur,PPP,Sindh,Badin
PS-70,Badin-III,Sardar Arbab Ameer Amanullah Khan,PPP,Sindh,Badin
PS-71,Badin-IV,Taj Muhammad Mallah,PPP,Sindh,Badin
PS-72,Badin-V,Ismail Rahoo,PPP,Sindh,Badin
PS-73,Sujawal-I,Shah Hussain Shah Sheerazi,PPP,Sindh,Sujawal
PS-74,Sujawal-II,Muhammad Ali Malkani,PPP,Sindh,Sujawal
PS-75,Thatta-I,Riaz Hussain Shah Sheerazi,PPP,Sindh,Thatta
PS-76,Thatta-II,Ali Hassan Zardari,PPP,Sindh,Thatta
PS-77,Jamshoro-I,Murad Ali Shah,PPP,Sindh,Jamshoro
PS-78,Jamshoro-II,Sikandar Ali Shoro,PPP,Sindh,Jamshoro
PS-79,Jamshoro-III,Malik Sikandar Khan,PPP,Sindh,Jamshoro
PS-80,Dadu-I,Zubair Ahmed Junejo,PPP,Sindh,Dadu
PS-81,Dadu-II,Fayaz Ali Butt,PPP,Sindh,Dadu
PS-82,Dadu-III,Pir Mujeeb ul Haq,PPP,Sindh,Dadu
PS-83,Dadu-IV,Pir Saleh Shah Jeelani,PPP,Sindh,Dadu
PS-84,Karachi Malir-I,Muhammad Yousuf Murtaza Baloch,PPP,Sindh,Karachi Malir
PS-85,Karachi Malir-II,Muhammad Sajid Jokhio,PPP,Sindh,Karachi Malir
PS-86,Karachi Malir-III,Abdul Razak Raja,PPP,Sindh,Karachi Malir
PS-87,Karachi Malir-IV,Mehmood Alam Jamot,PPP,Sindh,Karachi Malir
PS-88,Karachi Malir-V,Ajaz Khan Swati,PPP,Sindh,Karachi Malir
PS-89,Karachi Malir-VI,Muhammad Saleem Baloch,PPP,Sindh,Karachi Malir
PS-90,Karachi Korangi-I,Syed Shariq Jamal,MQM-P,Sindh,Karachi Korangi
PS-91,Karachi Korangi-II,Muhammad Farooq Farhan,JIP,Sindh,Karachi Korangi
PS-92,Karachi Korangi-III,Wajid Hussain Khan,SIC,Sindh,Karachi Korangi
PS-93,Karachi Korangi-IV,Sajid Hussain Mir,SIC,Sindh,Karachi Korangi
PS-94,Karachi Korangi-V,Najam Mirza,MQM-P,Sindh,Karachi Korangi
PS-95,Karachi Korangi-VI,Muhammad Farooq Awan,PPP,Sindh,Karachi Korangi
PS-96,Karachi Korangi-VII,Muhammad Owais,SIC,Sindh,Karachi Korangi
PS-97,Karachi East-I,Rana Shoukat Ali,MQM-P,Sindh,Karachi East
PS-98,Karachi East-II,Arsalan Perwaiz Siddiqui,MQM-P,Sindh,Karachi East
PS-99,Karachi East-III,Syed Farhan Ansari,MQM-P,Sindh,Karachi East
PS-100,Karachi East-IV,Syed Muhammad Usman,MQM-P,Sindh,Karachi East
PS-101,Karachi East-V,Moeed Anwar,MQM-P,Sindh,Karachi East
PS-102,Karachi East-VI,Muhammad Aamir Siddiqui,MQM-P,Sindh,Karachi East
PS-103,Karachi East-VII,Faisal Rafiq,MQM-P,Sindh,Karachi East
PS-104,Karachi East-VIII,Muhammad Daniyal,MQM-P,Sindh,Karachi East
PS-105,Karachi East-IX,Saeed Ghani,PPP,Sindh,Karachi East
PS-106,Karachi South-I,Sajjad Ali Soomro,SIC,Sindh,Karachi South
PS-107,Karachi South-II,Muhammad Yousuf Baloch,PPP,Sindh,Karachi South
PS-108,Karachi South-III,Muhammad Dilawar,MQM-P,Sindh,Karachi South
PS-109,Karachi South-IV,Bilal Hussain Khan Jadoon,SIC,Sindh,Karachi South
PS-110,Karachi South-V,Rehan Bandukda,SIC,Sindh,Karachi South
PS-111,Karachi Keamari-I,Liaquat Ali Askani,PPP,Sindh,Karachi Keamari
PS-112,Karachi Keamari-II,Asif Moosa[3],PPP,Sindh,Karachi Keamari
PS-113,Karachi Keamari-III,Faheem Ahmed Patni,MQM-P,Sindh,Karachi Keamari
PS-114,Karachi Keamari-IV,Muhammad Shabbir Qureshi,SIC,Sindh,Karachi Keamari
PS-115,Karachi Keamari-V,Muhammad Asif Khan,PPP,Sindh,Karachi Keamari
PS-116,Karachi West-I,Ali Ahmed Jan,PPP,Sindh,Karachi West
PS-117,Karachi West-II,Sheikh Abdullah,MQM-P,Sindh,Karachi West
PS-118,Karachi West-III,Naseer Ahmed,MQM-P,Sindh,Karachi West
PS-119,Karachi West-IV,Ali Khursheedi,MQM-P,Sindh,Karachi West
PS-120,Karachi West-V,Mazahir Amir Khan,MQM-P,Sindh,Karachi West
PS-121,Karachi West-VI,Syed Ejaz Ul Haque,MQM-P,Sindh,Karachi West
PS-122,Karachi Central-I,Rehan (politician),MQM-P,Sindh,Karachi Central
PS-123,Karachi Central-II,Abdul Waseem,MQM-P,Sindh,Karachi Central
PS-124,Karachi Central-III,Abdul Basit,MQM-P,Sindh,Karachi Central
PS-125,Karachi Central-IV,Syed Adil Askari,MQM-P,Sindh,Karachi Central
PS-126,Karachi Central-V,Iftikhar Alam,MQM-P,Sindh,Karachi Central
PS-127,Karachi Central-VI,Muhammad Maaz Mehboob,MQM-P,Sindh,Karachi Central
PS-128,Karachi Central-VII,Taha Ahmed Khan,MQM-P,Sindh,Karachi Central
PS-129,Karachi Central-VIII,Maaz Mukaddam,MQM-P,Sindh,Karachi Central
PS-130,Karachi Central-IX,Jamal Ahmed,MQM-P,Sindh,Karachi Central
PK-1,Upper Chitral,Suraya Bibi,SIC,Khyber Pakhtunkhwa,Upper Chitral
PK-2,Lower Chitral,Fateh-ul-Mulk Ali Nasir,SIC,Khyber Pakhtunkhwa,Lower Chitral
PK-3,Swat-I,Sharafat Ali,SIC,Khyber Pakhtunkhwa,Swat
PK-4,Swat-II,Ali Shah,SIC,Khyber Pakhtunkhwa,Swat
PK-5,Swat-III,Akhtar Khan,SIC,Khyber Pakhtunkhwa,Swat
PK-6,Swat-IV,Fazal Hakim,SIC,Khyber Pakhtunkhwa,Swat
PK-7,Swat-V,Amjad Ali,SIC,Khyber Pakhtunkhwa,Swat
PK-8,Swat-VI,Hamid Ur Rahman,SIC,Khyber Pakhtunkhwa,Swat
PK-9,Swat-VII,Sultan e Rum,SIC,Khyber Pakhtunkhwa,Swat
PK-10,Swat-VIII,Muhammad Naeem Khan,SIC,Khyber Pakhtunkhwa,Swat
PK-11,Upper Dir-I,Gul Ibrahim Khan,SIC,Khyber Pakhtunkhwa,Upper Dir
PK-12,Upper Dir-II,Muhammad Yamin,SIC,Khyber Pakhtunkhwa,Upper Dir
PK-13,Upper Dir-III,Muhammad Anwar Khan,SIC,Khyber Pakhtunkhwa,Upper Dir
PK-14,Lower Dir-I,Muhammad Azam Khan,SIC,Khyber Pakhtunkhwa,Lower Dir
PK-15,Lower Dir-II,Hamayun Khan,SIC,Khyber Pakhtunkhwa,Lower Dir
PK-16,Lower Dir-III,Shafi Ullah,SIC,Khyber Pakhtunkhwa,Lower Dir
PK-17,Lower Dir-IV,Ubaidur Rahman,SIC,Khyber Pakhtunkhwa,Lower Dir
PK-18,Lower Dir-V,Liaqat Ali Khan,SIC,Khyber Pakhtunkhwa,Lower Dir
PK-19,Bajaur-I,Hamid Ur Rehman,SIC,Khyber Pakhtunkhwa,Bajaur
PK-20,Bajaur-II,Anwar Zeb Khan,SIC,Khyber Pakhtunkhwa,Bajaur
PK-21,Bajaur-III,Ajmal Khan,SIC,Khyber Pakhtunkhwa,Bajaur
PK-22,Bajaur-IV,Nisar Baaz,ANP,Khyber Pakhtunkhwa,Bajaur
PK-23,Malakand-I,Shakeel Ahmad,SIC,Khyber Pakhtunkhwa,Malakand
PK-24,Malakand-II,Musavir Khan,SIC,Khyber Pakhtunkhwa,Malakand
PK-25,Buner-I,Riaz Khan,SIC,Khyber Pakhtunkhwa,Buner
PK-26,Buner-II,Syed Fakhr e Jehan,SIC,Khyber Pakhtunkhwa,Buner
PK-27,Buner-III,Abdul Kabir Khan,SIC,Khyber Pakhtunkhwa,Buner
PK-28,Shangla-I,Muhammad Rashad Khan,PML(N),Khyber Pakhtunkhwa,Shangla
PK-29,Shangla-II,Abdul Munim,SIC,Khyber Pakhtunkhwa,Shangla
PK-30,Shangla-III,Ibadullah Khan,PML(N),Khyber Pakhtunkhwa,Shangla
PK-31,Kohistan Upper,Fazal-e Haq,SIC,Khyber Pakhtunkhwa,Kohistan Upper
PK-32,Kohistan Lower,Sajjad Ullah,JUI(F),Khyber Pakhtunkhwa,Kohistan Lower
PK-33,Kolai Palas,Muhammad Riaz,SIC,Khyber Pakhtunkhwa,Kolai Palas
PK-34,Battagram-I,Zubair Khan,SIC,Khyber Pakhtunkhwa,Battagram
PK-35,Battagram-II,Taj Muhammad,SIC,Khyber Pakhtunkhwa,Battagram
PK-36,Mansehra-I,Munir Hussain,SIC,Khyber Pakhtunkhwa,Mansehra
PK-37,Mansehra-II,Babar Saleem Swati,SIC,Khyber Pakhtunkhwa,Mansehra
PK-38,Mansehra-III,Zahid Chanzeb,SIC,Khyber Pakhtunkhwa,Mansehra
PK-39,Mansehra-IV,Ikram Ullah,SIC,Khyber Pakhtunkhwa,Mansehra
PK-40,Mansehra-V,Shahjahan Yousuf,PML(N),Khyber Pakhtunkhwa,Mansehra
PK-41,Torghar,Laiq Muhammad Khan,SIC,Khyber Pakhtunkhwa,Torghar
PK-42,Abbottabad-I,Nazir Ahmed Abbasi,SIC,Khyber Pakhtunkhwa,Abbottabad
PK-43,Abbottabad-II,Rajab Ali Khan Abbasi,SIC,Khyber Pakhtunkhwa,Abbottabad
PK-44,Abbottabad-III,Iftikhar Ahmad Khan Jadoon,SIC,Khyber Pakhtunkhwa,Abbottabad
PK-45,Abbottabad-IV,Mushtaq Ahmed Ghani,SIC,Khyber Pakhtunkhwa,Abbottabad
PK-46,Haripur-I,Akbar Ayub Khan,SIC,Khyber Pakhtunkhwa,Haripur
PK-47,Haripur-II,Arshad Ayub Khan,SIC,Khyber Pakhtunkhwa,Haripur
PK-48,Haripur-III,Malik Adeel Iqbal,SIC,Khyber Pakhtunkhwa,Haripur
PK-49,Swabi-I,Rangez Ahmad,SIC,Khyber Pakhtunkhwa,Swabi
PK-50,Swabi-II,Aqibullah Khan,SIC,Khyber Pakhtunkhwa,Swabi
PK-51,Swabi-III,Abdul Kareem,SIC,Khyber Pakhtunkhwa,Swabi
PK-52,Swabi-IV,Faisal Khan Tarakai,SIC,Khyber Pakhtunkhwa,Swabi
PK-53,Swabi-V,Murtaza Khan Tarakai,SIC,Khyber Pakhtunkhwa,Swabi
PK-54,Mardan-I,Zarshad Khan,SIC,Khyber Pakhtunkhwa,Mardan
PK-55,Mardan-II,Tufail Anjum,SIC,Khyber Pakhtunkhwa,Mardan
PK-56,Mardan-III,Amir Farzand Khan,SIC,Khyber Pakhtunkhwa,Mardan
PK-57,Mardan-IV,Muhammad Zahir Shah,SIC,Khyber Pakhtunkhwa,Mardan
PK-58,Mardan-V,Muhammad Abdul Salam,SIC,Khyber Pakhtunkhwa,Mardan
PK-59,Mardan-VI,Tariq Mehmood Aryani,SIC,Khyber Pakhtunkhwa,Mardan
PK-60,Mardan-VII,Iftikhar Ali Mushwani,SIC,Khyber Pakhtunkhwa,Mardan
PK-61,Mardan-VIII,Ihtisham Ali,SIC,Khyber Pakhtunkhwa,Mardan
PK-62,Charsadda-I,Khalid Khan,SIC,Khyber Pakhtunkhwa,Charsadda
PK-63,Charsadda-II,Arshad Ali,SIC,Khyber Pakhtunkhwa,Charsadda
PK-64,Charsadda-III,Iftikhar Ullah Jan,SIC,Khyber Pakhtunkhwa,Charsadda
PK-65,Charsadda-IV,Fazle Shakoor Khan,SIC,Khyber Pakhtunkhwa,Charsadda
PK-66,Charsadda-V,Mohammad Arif,SIC,Khyber Pakhtunkhwa,Charsadda
PK-67,Mohmand-I,Mehboob Sher,SIC,Khyber Pakhtunkhwa,Mohmand
PK-68,Mohmand-II,Muhammad Israr,SIC,Khyber Pakhtunkhwa,Mohmand
PK-69,Khyber-I,Muhammad Adnan Qadri,SIC,Khyber Pakhtunkhwa,Khyber
PK-70,Khyber-II,Muhammad Sohail Afridi,SIC,Khyber Pakhtunkhwa,Khyber
PK-71,Khyber-III,Abdul Ghani,SIC,Khyber Pakhtunkhwa,Khyber
PK-72,Peshawar-I,Kiramat Ullah Khan,PPP,Khyber Pakhtunkhwa,Peshawar
PK-73,Peshawar-II,Arbab Muhammad Wasim Khan,PTI-P,Khyber Pakhtunkhwa,Peshawar
PK-74,Peshawar-III,Ijaz Muhammad,JUI(F),Khyber Pakhtunkhwa,Peshawar
PK-75,Peshawar-IV,Arbab Muhammad Usman Khan,ANP,Khyber Pakhtunkhwa,Peshawar
PK-76,Peshawar-V,Samiullah Khan,SIC,Khyber Pakhtunkhwa,Peshawar
PK-77,Peshawar-VI,Sher Ali Afridi,SIC,Khyber Pakhtunkhwa,Peshawar
PK-78,Peshawar-VII,Zahir Khan,PML(N),Khyber Pakhtunkhwa,Peshawar
PK-79,Peshawar-VIII,Jalal Khan,PML(N),Khyber Pakhtunkhwa,Peshawar
PK-80,Peshawar-IX,Arbab Zarak Khan,PPP,Khyber Pakhtunkhwa,Peshawar
PK-81,Peshawar-X,Syed Qasim Ali Shah,SIC,Khyber Pakhtunkhwa,Peshawar
PK-82,Peshawar-XI,Malik Tariq Awan,PML(N),Khyber Pakhtunkhwa,Peshawar
PK-83,Peshawar-XII,Meena Khan,SIC,Khyber Pakhtunkhwa,Peshawar
PK-84,Peshawar-XIII,Fazal Elahi,SIC,Khyber Pakhtunkhwa,Peshawar
PK-85,Nowshera-I,Zar Alam Khan,SIC,Khyber Pakhtunkhwa,Nowshera
PK-86,Nowshera-II,Muhammad Idrees,SIC,Khyber Pakhtunkhwa,Nowshera
PK-87,Nowshera-III,Khaliq-ur-Rehman,SIC,Khyber Pakhtunkhwa,Nowshera
PK-88,Nowshera-IV,Mian Muhammad Umar,SIC,Khyber Pakhtunkhwa,Nowshera
PK-89,Nowshera-V,Ishfaq Ahmed,SIC,Khyber Pakhtunkhwa,Nowshera
PK-90,Kohat-I,Aftab Alam Afridi,SIC,Khyber Pakhtunkhwa,Kohat
PK-91,Kohat-II,Daud Shah Afridi,SIC,Khyber Pakhtunkhwa,Kohat
PK-92,Kohat-III,Shafi Ullah Jan,SIC,Khyber Pakhtunkhwa,Kohat
PK-93,Hangu,Shah Abu Tarab Khan Bangash,SIC,Khyber Pakhtunkhwa,Hangu
PK-94,Orakzai,Aurangzeb Khan,SIC,Khyber Pakhtunkhwa,Orakzai
PK-95,Kurram-I,Muhammad Riaz Shaheen,JUI(F),Khyber Pakhtunkhwa,Kurram
PK-96,Kurram-II,Ali Hadi,PTI-P,Khyber Pakhtunkhwa,Kurram
PK-97,Karak-I,Muhammad Khurshid,SIC,Khyber Pakhtunkhwa,Karak
PK-98,Karak-II,Muhammad Sajjad,SIC,Khyber Pakhtunkhwa,Karak
PK-99,Bannu-I,Zahid Ullah Khan,SIC,Khyber Pakhtunkhwa,Bannu
PK-100,Bannu-II,Pakhtoon Yar Khan,SIC,Khyber Pakhtunkhwa,Bannu
PK-101,Bannu-III,Adnan Wazir,JUI(F),Khyber Pakhtunkhwa,Bannu
PK-102,Bannu-IV,Akram Khan Durrani,JUI(F),Khyber Pakhtunkhwa,Bannu
PK-103,North Waziristan-I,Muhammad Iqbal Wazir,PTI-P,Khyber Pakhtunkhwa,North Waziristan
PK-104,North Waziristan-II,Nek Muhammad Khan,SIC,Khyber Pakhtunkhwa,North Waziristan
PK-105,Lakki Marwat-I,Johar Muhammad,SIC,Khyber Pakhtunkhwa,Lakki Marwat
PK-106,Lakki Marwat-II,Hisham Inamullah Khan,PML(N),Khyber Pakhtunkhwa,Lakki Marwat
PK-107,Lakki Marwat-III,Tariq Saeed,SIC,Khyber Pakhtunkhwa,Lakki Marwat
PK-108,Tank,Muhammad Usman,SIC,Khyber Pakhtunkhwa,Tank
PK-109,Upper South Waziristan,Asif Khan,SIC,Khyber Pakhtunkhwa,Upper South Waziristan
PK-110,Lower South Waziristan,Ajab Gul,SIC,Khyber Pakhtunkhwa,Lower South Waziristan
PK-111,Dera Ismail Khan-I,Makhdoom Zada Muhammad Aftab Haider,JUI(F),Khyber Pakhtunkhwa,Dera Ismail Khan
PK-112,Dera Ismail Khan-II,Ahmad Kundi,PPP,Khyber Pakhtunkhwa,Dera Ismail Khan
PK-113,Dera Ismail Khan-III,Ali Amin Gandapur,SIC,Khyber Pakhtunkhwa,Dera Ismail Khan
PK-114,Dera Ismail Khan-IV,Luftur Rehman,JUI(F),Khyber Pakhtunkhwa,Dera Ismail Khan
PK-115,Dera Ismail Khan-V,Ehsanullah Khan,PPP,Khyber Pakhtunkhwa,Dera Ismail Khan
PB-1,Sherani-Cum-Zhob,Nawaz Kibzai,JUI(F),Balochistan,Sherani-Cum
PB-2,Zhob,Fazal Qadir Mandokhail,JUI(F),Balochistan,Zhob
PB-3,Killa Saifullah,Maulana Noorullah,PPP,Balochistan,Killa Saifullah
PB-4,Musakhel-cum-Barkhan,Abdul Rehman Khetran,NP,Balochistan,Musakhel-cum
PB-5,Loralai,Muhammad Khan Toor Utmankhel,HDTB,Balochistan,Loralai
PB-6,Duki,Sardar Masood Ali Khan Luni,PML(N),Balochistan,Duki
PB-7,Ziarat cum Harnai,Noor Muhammad Dummar,JIP,Balochistan,Ziarat cum Harnai
PB-8,Sibi,Mir Kohyar Khan Domki,PPP,Balochistan,Sibi
PB-9,Kohlu,Changez Khan Marri,PML(N),Balochistan,Kohlu
PB-10,Dera Bugti,Sarfraz Bugti,PPP,Balochistan,Dera Bugti
PB-11,Jhal Magsi,Nawabzada Tariq Magsi,BAP,Balochistan,Jhal Magsi
PB-12,Kachhi,Mir Mohammad Asim Kurd Gello,PML(N),Balochistan,Kachhi
PB-13,Nasirabad-I,Mir Muhammad Sadiq Umrani,PPP,Balochistan,Nasirabad
PB-14,Nasirabad-II,Muhammad Khan Lehri,ANP,Balochistan,Nasirabad
PB-15,Sohbatpur,Mir Saleem Ahmed Khoso,PPP,Balochistan,Sohbatpur
PB-16,Jafarabad,Abdul Majeed Badini,JIP,Balochistan,Jafarabad
PB-17,Usta Muhammad,Faisal Khan Jamali,PPP,Balochistan,Usta Muhammad
PB-18,Khuzdar-I,Sanaullah Khan Zehri,JUI(F),Balochistan,Khuzdar
PB-19,Khuzdar-II,Mir Younus Aziz Zehri,JUI(F),Balochistan,Khuzdar
PB-20,Khuzdar-III,Mir Jahanzaib Mengal,BNP(M),Balochistan,Khuzdar
PB-21,Hub,Mohammad Saleh Bhootani,BAP,Balochistan,Hub
PB-22,Lasbela,Nawabzada Mir Muhammad Zarain Khan Magsi,PML(N),Balochistan,Lasbela
PB-23,Awaran,Khair Jan Baloch,NP,Balochistan,Awaran
PB-24,Gwadar,Hidayat ur Rehman Baloch,HDT,Balochistan,Gwadar
PB-25,Kech-I,Zahoor Ahmed Buledi,PPP,Balochistan,Kech
PB-26,Kech-II,Abdul Malik Baloch,NP,Balochistan,Kech
PB-27,Kech-III,Barkat Ali Rind,PML(N),Balochistan,Kech
PB-28,Kech-IV,Mir Asghar Rind,PPP,Balochistan,Kech
PB-29,Panjgur-I,Mir Asadullah Baloch,BNP(A),Balochistan,Panjgur
PB-30,Panjgur-II,Rahmat Saleh Baloch,NP,Balochistan,Panjgur
PB-31,Washuk,Mir Zabid Ali Reki,JUI(F),Balochistan,Washuk
PB-32,Chagai,Sadiq Sanjrani,BAP,Balochistan,Chagai
PB-33,Kharan,Mir Shoaib Nosherwani,PML(N),Balochistan,Kharan
PB-34,Nushki,Haji Ghulam Dastagir Badeni,JUI(F),Balochistan,Nushki
PB-35,Surab,Mir Zafarullah Khan Zehri,JUI(F),Balochistan,Surab
PB-36,Kalat,Mir Ziaullah Langau,BAP,Balochistan,Kalat
PB-37,Mastung,Aslam Raisani,JUI(F),Balochistan,Mastung
PB-38,Quetta-I,Malik Naeem Khan Bazai,ANP,Balochistan,Quetta
PB-39,Quetta-II,Bakht Muhammad Kakar,PML(N),Balochistan,Quetta
PB-40,Quetta-III,Samad Khan Gorgage,PPP,Balochistan,Quetta
PB-41,Quetta-IV,Wali Muhammad Noorzai,PML(N),Balochistan,Quetta
PB-42,Quetta-V,Sheikh Zarak Khan Mandokhail,PML(N),Balochistan,Quetta
PB-43,Quetta-VI,Mir Liaquat Ali Lehri,PPP,Balochistan,Quetta
PB-44,Quetta-VII,Mir Ubaidullah Gorgage,PPP,Balochistan,Quetta
PB-45,Quetta-VIII,Ali Madad Jattak,PPP,Balochistan,Quetta
PB-46,Quetta-IX,Prince Ahmed Umer Ahmedzai,BAP,Balochistan,Quetta
PB-47,Pishin-I,Asfand Yar Khan Kakar,PPP,Balochistan,Pishin
PB-48,Pishin-II,Asghar Ali Tareen,JUI(F),Balochistan,Pishin
PB-49,Pishin-II,Syed Zafar Ali Agha,JUI(F),Balochistan,Pishin
PB-50,Killa Abdullah,Zmarak Khan Achakzai,ANP,Balochistan,Killa Abdullah
PB-51,Chaman,Abdul Khaliq Khan Achakzai,PML(N),Balochistan,Chaman
